시간,동작,내용
2026-04-29 11:53:11,스텝전진,무한 정방향
2026-04-29 11:53:13,스텝정지,모터 OFF
2026-04-29 11:53:23,스텝전진,무한 정방향
2026-04-29 11:53:24,스텝정지,모터 OFF
2026-04-29 11:53:25,스텝전진,무한 정방향
2026-04-29 11:53:42,스텝정지,모터 OFF
2026-04-29 11:53:47,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:53:48,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:53:48,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:53:49,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:53:50,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:53:51,자동정지,시간 초과
2026-04-29 11:53:53,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:53:53,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:53:54,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:53:54,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:53:55,자동정지,시간 초과
2026-04-29 11:53:56,스텝전진,무한 정방향
2026-04-29 11:54:03,스텝정지,모터 OFF
2026-04-29 11:54:15,스텝전진,무한 정방향
2026-04-29 11:54:27,스텝정지,모터 OFF
2026-04-29 11:54:31,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:54:32,자동정지,시간 초과
2026-04-29 11:54:32,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:54:33,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:54:34,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:54:35,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:54:35,자동정지,시간 초과
2026-04-29 11:54:36,정방향구동,속도=70%, 시간=1000ms
2026-04-29 11:54:37,자동정지,시간 초과
2026-04-29 11:54:38,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:54:39,자동정지,시간 초과
2026-04-29 11:54:41,역방향구동,속도=70%, 시간=1000ms
2026-04-29 11:54:42,자동정지,시간 초과
2026-04-29 11:54:50,스텝전진,무한 정방향
2026-04-29 11:54:59,스텝정지,모터 OFF
2026-04-29 11:55:10,스텝전진,무한 정방향
2026-04-29 11:55:21,스텝정지,모터 OFF
2026-04-29 11:56:44,스텝전진,무한 정방향
2026-04-29 11:56:54,스텝정지,모터 OFF
2026-04-29 11:57:17,스텝전진,무한 정방향
2026-04-29 11:57:25,스텝정지,모터 OFF
2026-04-29 12:01:25,스텝전진,무한 정방향
2026-04-29 12:01:33,스텝정지,모터 OFF
2026-04-29 12:02:18,정방향구동,속도=70%, 시간=1000ms
2026-04-29 12:02:19,자동정지,시간 초과
2026-04-29 12:02:19,역방향구동,속도=70%, 시간=1000ms
2026-04-29 12:02:20,자동정지,시간 초과
2026-04-29 12:02:24,정방향구동,속도=70%, 시간=1000ms
2026-04-29 12:02:25,자동정지,시간 초과
2026-04-29 12:02:26,정방향구동,속도=70%, 시간=1000ms
2026-04-29 12:02:27,자동정지,시간 초과
2026-04-29 12:02:38,역방향구동,속도=70%, 시간=4000ms
2026-04-29 12:02:39,정방향구동,속도=70%, 시간=4000ms
2026-04-29 12:02:40,정방향구동,속도=70%, 시간=4000ms
2026-04-29 12:02:44,자동정지,시간 초과
2026-04-29 12:02:51,역방향구동,속도=70%, 시간=6000ms
2026-04-29 12:02:52,정방향구동,속도=70%, 시간=6000ms
2026-04-29 12:02:52,정방향구동,속도=70%, 시간=6000ms
2026-04-29 12:02:52,역방향구동,속도=70%, 시간=6000ms
2026-04-29 12:02:53,정지,컨베이어 정지
2026-04-29 12:02:54,정방향구동,속도=70%, 시간=6000ms
2026-04-29 12:03:00,자동정지,시간 초과
2026-04-29 12:03:06,정방향구동,속도=70%, 시간=6000ms
2026-04-29 12:03:11,정지,컨베이어 정지
2026-04-29 12:12:42,스텝전진,무한 정방향
2026-04-29 12:12:50,스텝정지,모터 OFF
2026-04-29 12:13:03,스텝정지,모터 OFF
2026-04-29 12:13:05,스텝전진,무한 정방향
2026-04-29 12:13:07,스텝정지,모터 OFF
2026-04-29 12:13:14,스텝전진,무한 정방향
2026-04-29 12:13:17,스텝정지,모터 OFF
2026-04-29 12:14:32,스텝전진,무한 정방향
2026-04-29 12:14:34,스텝정지,모터 OFF
2026-04-29 12:15:16,스텝전진,무한 정방향
2026-04-29 12:15:19,스텝정지,모터 OFF
2026-04-29 12:15:51,스텝전진,무한 정방향
2026-04-29 12:15:58,스텝정지,모터 OFF
2026-04-29 12:16:15,스텝후진,무한 역방향
2026-04-29 12:16:15,스텝정지,모터 OFF
2026-04-29 12:16:52,스텝전진,무한 정방향
2026-04-29 12:16:55,스텝정지,모터 OFF
2026-04-29 12:17:04,스텝전진,무한 정방향
2026-04-29 12:17:08,스텝정지,모터 OFF
2026-04-29 12:17:25,스텝전진,무한 정방향
2026-04-29 12:17:27,스텝정지,모터 OFF
2026-04-29 12:17:31,스텝전진,무한 정방향
2026-04-29 12:17:35,스텝정지,모터 OFF
2026-04-29 12:18:25,스텝전진,무한 정방향
2026-04-29 12:18:29,스텝정지,모터 OFF
2026-04-29 12:18:32,스텝전진,무한 정방향
2026-04-29 12:18:32,스텝정지,모터 OFF
2026-04-29 12:18:34,스텝후진,무한 역방향
2026-04-29 12:18:35,스텝정지,모터 OFF
2026-04-29 12:19:08,스텝전진,무한 정방향
2026-04-29 12:19:15,스텝정지,모터 OFF
2026-04-29 12:19:16,스텝후진,무한 역방향
2026-04-29 12:19:17,스텝정지,모터 OFF
2026-04-29 12:20:50,스텝전진,무한 정방향
2026-04-29 12:20:51,스텝정지,모터 OFF
2026-04-29 12:21:34,스텝전진,무한 정방향
2026-04-29 12:21:35,스텝후진,무한 역방향
2026-04-29 12:21:36,스텝전진,무한 정방향
2026-04-29 12:21:37,스텝후진,무한 역방향
2026-04-29 12:21:38,스텝정지,모터 OFF
2026-04-29 12:22:14,스텝전진,무한 정방향
2026-04-29 12:22:14,스텝정지,모터 OFF
2026-04-29 12:22:16,스텝전진,무한 정방향
2026-04-29 12:22:17,스텝정지,모터 OFF
2026-04-29 14:16:36,정방향구동,속도=70%, 시간=1000ms
2026-04-29 14:16:37,정지,컨베이어 정지
2026-04-29 14:16:37,역방향구동,속도=70%, 시간=1000ms
2026-04-29 14:16:38,정방향구동,속도=70%, 시간=1000ms
2026-04-29 14:16:38,역방향구동,속도=70%, 시간=1000ms
2026-04-29 14:16:38,정방향구동,속도=70%, 시간=1000ms
2026-04-29 14:16:39,역방향구동,속도=70%, 시간=1000ms
2026-04-29 14:16:39,정지,컨베이어 정지
2026-04-29 14:16:41,스텝전진,무한 정방향
2026-04-29 14:16:51,스텝정지,모터 OFF
2026-04-29 14:16:52,정방향구동,속도=70%, 시간=1000ms
2026-04-29 14:16:52,역방향구동,속도=70%, 시간=1000ms
2026-04-29 14:16:53,정방향구동,속도=70%, 시간=1000ms
2026-04-29 14:16:53,역방향구동,속도=70%, 시간=1000ms
2026-04-29 14:16:53,정방향구동,속도=70%, 시간=1000ms
2026-04-29 14:16:54,정지,컨베이어 정지
2026-04-29 14:17:14,정방향구동,속도=70%, 시간=1000ms
2026-04-29 14:17:15,자동정지,시간 초과
2026-04-29 14:17:18,역방향구동,속도=70%, 시간=1000ms
2026-04-29 14:17:19,자동정지,시간 초과
2026-04-29 14:17:23,역방향구동,속도=70%, 시간=8000ms
2026-04-29 14:17:31,자동정지,시간 초과
2026-04-29 14:17:42,정방향구동,속도=70%, 시간=1ms
2026-04-29 14:17:42,자동정지,시간 초과
2026-04-29 14:17:42,정방향구동,속도=70%, 시간=1ms
2026-04-29 14:17:42,자동정지,시간 초과
2026-04-29 14:17:43,정방향구동,속도=70%, 시간=1ms
2026-04-29 14:17:43,자동정지,시간 초과
2026-04-29 14:18:26,스텝전진,무한 정방향
2026-04-29 14:18:27,스텝정지,모터 OFF
2026-04-29 14:19:48,스텝전진,무한 정방향
2026-04-29 14:19:53,스텝정지,모터 OFF
2026-04-29 14:20:15,스텝전진,무한 정방향
2026-04-29 14:20:17,스텝정지,모터 OFF
2026-04-29 14:22:01,스텝전진,무한 정방향
2026-04-29 14:22:07,스텝정지,모터 OFF
2026-04-29 14:22:57,정방향구동,속도=70%, 시간=1ms
2026-04-29 14:22:58,자동정지,시간 초과
2026-04-29 14:23:00,정방향구동,속도=70%, 시간=1ms
2026-04-29 14:23:00,자동정지,시간 초과
2026-04-29 14:23:00,정방향구동,속도=70%, 시간=1ms
2026-04-29 14:23:00,자동정지,시간 초과
2026-04-29 14:23:04,정방향구동,속도=70%, 시간=0ms
2026-04-29 14:23:06,역방향구동,속도=70%, 시간=0ms
2026-04-29 14:23:06,자동정지,시간 초과
2026-04-29 14:23:07,정지,컨베이어 정지
2026-04-29 14:23:07,정방향구동,속도=70%, 시간=0ms
2026-04-29 14:23:08,스텝전진,무한 정방향
2026-04-29 14:23:10,스텝정지,모터 OFF
2026-04-29 14:23:11,정방향구동,속도=70%, 시간=0ms
2026-04-29 14:23:12,역방향구동,속도=70%, 시간=0ms
2026-04-29 14:23:12,자동정지,시간 초과
2026-04-29 14:24:26,정방향구동,속도=70%, 시간=1000ms
2026-04-29 14:24:27,정지,컨베이어 정지
2026-04-29 14:24:28,역방향구동,속도=70%, 시간=1000ms
2026-04-29 14:24:29,정지,컨베이어 정지
2026-04-29 14:24:30,스텝전진,무한 정방향
2026-04-29 14:24:30,스텝정지,모터 OFF
2026-04-29 14:58:42,스텝전진,무한 정방향
2026-04-29 14:58:47,스텝정지,모터 OFF
2026-04-29 14:58:49,스텝전진,무한 정방향
2026-04-29 14:58:49,스텝정지,모터 OFF
2026-04-29 14:59:15,스텝전진,무한 정방향
2026-04-29 14:59:17,스텝정지,모터 OFF
2026-04-29 14:59:20,스텝후진,무한 역방향
2026-04-29 14:59:21,스텝정지,모터 OFF
2026-04-29 14:59:38,스텝전진,무한 정방향
2026-04-29 14:59:39,스텝정지,모터 OFF
2026-04-29 14:59:48,스텝전진,무한 정방향
2026-04-29 14:59:49,스텝정지,모터 OFF
2026-04-29 15:00:15,스텝정지,모터 OFF
2026-04-29 15:01:50,스텝전진,무한 정방향
2026-04-29 15:01:51,스텝정지,모터 OFF
2026-04-29 15:01:58,스텝전진,무한 정방향
2026-04-29 15:02:03,스텝정지,모터 OFF
2026-04-29 15:03:16,스텝후진,무한 역방향
2026-04-29 15:03:17,스텝정지,모터 OFF
2026-04-29 15:03:55,정방향구동,속도=70%, 시간=1000ms
2026-04-29 15:03:56,자동정지,시간 초과
2026-04-29 15:03:57,역방향구동,속도=70%, 시간=1000ms
2026-04-29 15:03:58,자동정지,시간 초과
2026-04-29 15:04:04,정방향구동,속도=70%, 시간=1000ms
2026-04-29 15:04:04,역방향구동,속도=70%, 시간=1000ms
2026-04-29 15:04:05,정지,컨베이어 정지
2026-04-29 15:04:31,스텝전진,무한 정방향
2026-04-29 15:04:34,스텝정지,모터 OFF
2026-04-29 15:05:06,스텝전진,무한 정방향
2026-04-29 15:05:08,스텝정지,모터 OFF
2026-04-29 15:08:33,스텝전진,무한 정방향
2026-04-29 15:08:35,스텝정지,모터 OFF
2026-04-29 15:09:21,스텝전진,무한 정방향
2026-04-29 15:09:22,스텝정지,모터 OFF
2026-04-29 15:09:22,스텝전진,무한 정방향
2026-04-29 15:09:22,스텝정지,모터 OFF
2026-04-29 15:09:22,스텝전진,무한 정방향
2026-04-29 15:09:23,스텝전진,무한 정방향
2026-04-29 15:09:23,스텝정지,모터 OFF
2026-04-29 15:09:23,스텝전진,무한 정방향
2026-04-29 15:09:24,스텝전진,무한 정방향
2026-04-29 15:09:24,스텝전진,무한 정방향
2026-04-29 15:09:24,스텝정지,모터 OFF
2026-04-29 15:09:33,정방향구동,속도=70%, 시간=1000ms
2026-04-29 15:09:34,자동정지,시간 초과
2026-04-29 15:09:35,서보,0도
2026-04-29 15:09:35,서보,90도
2026-04-29 15:09:36,서보,180도
2026-04-29 15:09:36,서보,0도
2026-04-29 15:09:36,서보,90도
2026-04-29 15:09:36,서보,180도
2026-04-29 15:09:37,서보,0도
2026-04-29 15:09:37,서보,90도
2026-04-29 15:09:37,서보,0도
2026-04-29 15:09:38,서보,90도
2026-04-29 15:09:38,서보,90도
2026-04-29 15:09:38,서보,0도
2026-04-29 15:09:38,서보,0도
2026-04-29 15:09:38,서보,90도
2026-04-29 15:09:39,서보,0도
2026-04-29 15:09:39,서보,180도
2026-04-29 15:11:13,서보,0도
2026-04-29 15:11:13,서보,0도
2026-04-29 15:11:13,서보,0도
2026-04-29 15:11:14,서보,0도
2026-04-29 15:20:06,정방향구동,속도=70%, 시간=1000ms
2026-04-29 15:20:06,정지,컨베이어 정지
2026-04-29 15:21:20,서보,0도
2026-04-29 15:21:20,서보,90도
2026-04-29 15:21:20,서보,180도
2026-04-29 22:20:02,서보,0도
2026-04-29 22:20:02,서보,90도
2026-04-29 22:48:07,서보,0도
2026-04-29 22:48:07,서보,90도
2026-04-29 22:48:09,서보,180도
2026-04-29 22:48:10,서보,0도
2026-04-29 22:48:11,서보,90도
2026-04-29 22:48:11,서보,0도
2026-04-30 15:28:54,정방향구동,속도=70%, 시간=1000ms
2026-04-30 15:28:55,자동정지,시간 초과
2026-04-30 15:28:56,역방향구동,속도=70%, 시간=1000ms
2026-04-30 15:28:57,자동정지,시간 초과
2026-04-30 15:29:00,정방향구동,속도=70%, 시간=0ms
2026-04-30 15:29:03,정지,컨베이어 정지
2026-04-30 15:59:30,정방향구동,속도=70%, 시간=1000ms
2026-04-30 15:59:31,자동정지,시간 초과
2026-04-30 15:59:32,역방향구동,속도=70%, 시간=1000ms
2026-04-30 15:59:33,자동정지,시간 초과
2026-04-30 15:59:34,정방향구동,속도=70%, 시간=1000ms
2026-04-30 15:59:34,역방향구동,속도=70%, 시간=1000ms
2026-04-30 15:59:35,자동정지,시간 초과
2026-04-30 16:01:57,정방향구동,속도=70%, 시간=1000ms
2026-04-30 16:01:58,자동정지,시간 초과
2026-04-30 16:02:03,역방향구동,속도=70%, 시간=0ms
2026-04-30 16:02:03,자동정지,시간 초과
2026-04-30 16:02:06,역방향구동,속도=70%, 시간=0ms
2026-04-30 16:02:06,자동정지,시간 초과
2026-04-30 16:02:07,역방향구동,속도=70%, 시간=0ms
2026-04-30 16:02:07,자동정지,시간 초과
2026-04-30 16:02:08,정방향구동,속도=70%, 시간=0ms
2026-04-30 16:02:09,정지,컨베이어 정지
2026-04-30 16:02:09,역방향구동,속도=70%, 시간=0ms
2026-04-30 16:02:09,자동정지,시간 초과
2026-04-30 16:02:10,역방향구동,속도=70%, 시간=0ms
2026-04-30 16:02:10,자동정지,시간 초과
2026-04-30 16:02:11,정지,컨베이어 정지
2026-04-30 16:02:12,역방향구동,속도=70%, 시간=0ms
2026-04-30 16:02:12,자동정지,시간 초과
2026-04-30 16:04:16,역방향구동,속도=70%, 시간=1000ms
2026-04-30 16:04:17,자동정지,시간 초과
2026-04-30 16:04:19,정방향구동,속도=70%, 시간=1000ms
2026-04-30 16:04:20,자동정지,시간 초과
2026-04-30 16:04:25,역방향구동,속도=70%, 시간=0ms
2026-04-30 16:04:49,정지,컨베이어 정지
