시간,동작,내용
2026-04-28 15:40:57,스텝전진,이동=100, 위치=100
2026-04-28 15:40:57,스텝후진,이동=100, 위치=0
2026-04-28 15:40:58,스텝전진,이동=100, 위치=100
2026-04-28 15:40:58,스텝후진,이동=100, 위치=0
2026-04-28 15:40:58,스텝전진,이동=100, 위치=100
2026-04-28 15:40:58,스텝후진,이동=100, 위치=0
2026-04-28 15:40:58,스텝전진,이동=100, 위치=100
2026-04-28 15:40:58,스텝후진,이동=100, 위치=0
2026-04-28 15:40:58,스텝전진,이동=100, 위치=100
2026-04-28 15:40:59,스텝후진,이동=100, 위치=0
2026-04-28 15:40:59,스텝전진,이동=100, 위치=100
2026-04-28 15:40:59,스텝후진,이동=100, 위치=0
2026-04-28 15:40:59,스텝전진,이동=100, 위치=100
2026-04-28 15:41:28,역방향구동,스텝=200, 시간=1000ms
2026-04-28 15:41:28,정지,정지
2026-04-28 15:41:29,서보,0도
2026-04-28 15:41:30,서보,90도
2026-04-28 15:41:30,서보,90도
2026-04-28 15:41:30,스텝전진,이동=100, 위치=100
2026-04-28 15:41:30,스텝전진,이동=100, 위치=200
2026-04-28 15:41:31,스텝후진,이동=100, 위치=100
2026-04-28 15:41:31,HOME,원점복귀
2026-04-28 15:41:31,스텝전진,이동=100, 위치=100
2026-04-28 15:41:31,스텝전진,이동=100, 위치=200
2026-04-28 15:41:32,스텝후진,이동=100, 위치=100
2026-04-28 15:41:32,스텝후진,이동=100, 위치=0
2026-04-28 15:41:32,스텝후진,이동=100, 위치=-100
2026-04-28 15:41:33,스텝전진,이동=100, 위치=0
2026-04-28 15:41:33,스텝후진,이동=100, 위치=-100
2026-04-28 15:41:33,스텝후진,이동=100, 위치=-200
2026-04-28 15:41:33,스텝전진,이동=100, 위치=-100
2026-04-28 15:41:33,스텝후진,이동=100, 위치=-200
2026-04-28 15:41:33,스텝전진,이동=100, 위치=-100
2026-04-28 15:41:34,스텝전진,이동=100, 위치=0
2026-04-28 16:35:20,정방향구동,스텝=200, 시간=1000ms
2026-04-28 16:35:23,정지,정지
2026-04-28 16:35:23,역방향구동,스텝=200, 시간=1000ms
2026-04-28 16:35:24,정지,정지
2026-04-28 16:35:26,정방향구동,스텝=200, 시간=1000ms
2026-04-28 16:35:26,정지,정지
2026-04-28 16:35:27,서보,0도
2026-04-28 16:35:27,서보,90도
2026-04-28 16:35:28,서보,180도
2026-04-28 16:35:29,스텝전진,이동=100, 위치=100
2026-04-28 16:35:31,스텝후진,이동=100, 위치=0
2026-04-28 16:35:32,HOME,원점복귀
2026-04-28 16:36:28,정방향구동,스텝=200, 시간=1000ms
2026-04-28 16:36:30,정지,정지
2026-04-28 16:36:30,역방향구동,스텝=200, 시간=1000ms
2026-04-28 16:36:32,정지,정지
2026-04-28 16:36:33,역방향구동,스텝=200, 시간=1000ms
